,upper_left_latitude,upper_left_longitude,upper_right_latitude,upper_right_longitude,lower_left_latitude,lower_left_longitude,lower_right_latitude,lower_right_longitude,projection,Area
127,-1.642861,65.740823,-1.669875,66.37702,28.556226,66.183,28.526531,66.939284,Selenographic,Equatorial
128,1.044046,65.785738,1.037957,66.424824,31.352222,66.221375,31.34391,67.00313,Selenographic,Equatorial
129,-0.301616,65.796333,-0.311292,66.371057,29.949843,66.238551,29.938124,66.931349,Selenographic,Equatorial
130,-1.646561,65.740284,-1.67398,66.376167,28.577995,66.181938,28.548024,66.938057,Selenographic,Equatorial
131,1.042667,65.785804,1.038284,66.424606,31.3509,66.217853,31.344708,66.999287,Selenographic,Equatorial
132,-0.300715,65.796453,-0.311332,66.370895,29.950437,66.238383,29.937783,66.930852,Selenographic,Equatorial
133,-1.041929,62.451313,-1.075071,63.082413,28.58839,62.887785,28.553675,63.646134,Selenographic,Equatorial
134,1.455513,62.556886,1.497364,63.18998,31.425111,62.916173,31.46686,63.699849,Selenographic,Equatorial
135,0.241292,62.521756,0.231587,63.092334,29.986067,62.94386,29.975012,63.63894,Selenographic,Equatorial
136,-0.941599,59.209946,-1.065727,59.822282,28.616292,59.633202,28.481139,60.37221,Selenographic,Equatorial
137,1.544591,59.252029,1.510087,59.878512,31.341774,59.654436,31.301514,60.432109,Selenographic,Equatorial
138,0.271353,59.281764,0.260718,59.845939,29.973113,59.652854,29.959152,60.343655,Selenographic,Equatorial
139,-1.544115,52.631566,-1.558211,53.259046,28.752466,52.979383,28.734505,53.735178,Selenographic,Equatorial
140,1.146516,52.661178,1.127916,53.291457,31.359663,53.052575,31.335105,53.831593,Selenographic,Equatorial
141,-0.196122,52.671532,-0.203562,53.23836,30.057336,53.018374,30.047757,53.709888,Selenographic,Equatorial
142,-0.877511,46.052355,-0.875748,46.670908,28.742069,46.340672,28.742423,47.079519,Selenographic,Equatorial
143,1.748966,46.077547,1.742672,46.699545,31.484584,46.387296,31.475469,47.150797,Selenographic,Equatorial
144,0.437336,46.095258,0.43377,46.654248,30.114508,46.403413,30.108824,47.080023,Selenographic,Equatorial
145,1.748389,42.790585,1.738458,43.413665,31.477772,43.032025,31.465737,43.796721,Selenographic,Equatorial
146,-0.874408,42.768989,-0.880166,43.387872,28.728648,43.004245,28.721536,43.743245,Selenographic,Equatorial
147,0.435325,42.809331,0.428613,43.368952,30.104983,43.056586,30.096694,43.733816,Selenographic,Equatorial
148,-0.058588,39.526516,-0.062111,40.08559,30.182449,39.702441,30.178137,40.382374,Selenographic,Equatorial
149,-1.367448,39.487601,-1.370041,40.105749,28.805252,39.657099,28.802126,40.398724,Selenographic,Equatorial
150,1.253683,39.503754,1.247674,40.126359,31.559553,39.666423,31.552751,40.434592,Selenographic,Equatorial
151,-0.80872,32.960453,-0.834282,33.574003,28.896949,33.050384,28.868612,33.789395,Selenographic,Equatorial
152,1.767834,32.974613,1.767913,33.590712,31.613587,33.025313,31.613227,33.788138,Selenographic,Equatorial
153,0.471332,33.000082,0.471066,33.554409,30.24847,33.069003,30.247612,33.745718,Selenographic,Equatorial
154,1.867849,29.718905,1.864205,30.343402,31.605604,29.721714,31.601419,30.493401,Selenographic,Equatorial
155,-0.769467,29.729748,-0.765572,30.352291,28.828548,29.727892,28.831709,30.476178,Selenographic,Equatorial
156,0.551992,29.750856,0.55046,30.312759,30.22232,29.761241,30.220273,30.445789,Selenographic,Equatorial
157,-0.769332,18.936107,-0.805564,19.572611,29.635426,18.859037,29.598798,19.607995,Selenographic,Equatorial
158,1.98368,18.953457,1.984708,19.59939,32.291769,18.824844,32.292203,19.605688,Selenographic,Equatorial
159,0.629743,18.989461,0.630863,19.567638,30.909683,18.875635,30.910369,19.564697,Selenographic,Equatorial
160,1.816181,11.399081,1.791748,12.045061,31.101238,11.310806,31.078316,12.067978,Selenographic,Equatorial
161,0.359823,11.460826,0.36137,12.039123,29.834564,11.367606,29.836023,12.03701,Selenographic,Equatorial
162,-1.043187,11.447001,-1.032244,12.084232,28.518113,11.341323,28.528518,12.069465,Selenographic,Equatorial
163,1.734881,4.999104,1.738846,5.638592,31.245907,4.947993,31.249675,5.69635,Selenographic,Equatorial
164,0.37735,5.042028,0.377521,5.616355,29.914504,4.992219,29.914186,5.655417,Selenographic,Equatorial
165,-0.964768,5.00492,-0.966592,5.640238,28.564626,4.964247,28.562515,5.688155,Selenographic,Equatorial
166,-0.922101,2.868659,-0.931637,3.503681,28.578565,2.848893,28.569065,3.571976,Selenographic,Equatorial
167,0.425166,2.905906,0.424868,3.480255,29.91459,2.877068,29.914098,3.539755,Selenographic,Equatorial
168,1.796234,2.867253,1.803499,3.506993,31.215512,2.828587,31.223218,3.576356,Selenographic,Equatorial
169,-1.369971,-0.29917599999998856,-1.369848,0.333641,23.922995,-0.30453299999999217,23.922784,0.384529,Selenographic,Equatorial
170,1.311701,-0.30052599999999074,1.310249,0.337201,26.594812,-0.3123469999999884,26.593002,0.397542,Selenographic,Equatorial
171,-0.031198,-0.26145700000000716,-0.030884,0.310952,25.259452,-0.2679790000000253,25.258813,0.3622,Selenographic,Equatorial
172,1.78465,-2.4472660000000133,1.783989,-1.811982999999998,13.403555,-2.4454170000000204,13.403972,-1.7961890000000267,Selenographic,Equatorial
173,0.44696,-2.426080000000013,0.443612,-1.8558310000000233,12.075887,-2.4133429999999976,12.075095,-1.833330999999987,Selenographic,Equatorial
174,-0.881879,-2.44613099999998,-0.893817,-1.8157919999999876,10.753188,-2.4368729999999914,10.741651,-1.7988100000000031,Selenographic,Equatorial
175,-0.781427,-6.617133000000024,-0.801627,-5.983114999999998,28.625439,-6.60658699999999,28.603933,-5.886135000000024,Selenographic,Equatorial
176,1.895401,-6.612848999999983,1.893153,-5.976104000000021,31.282953,-6.587343999999973,31.278291,-5.844448,Selenographic,Equatorial
177,0.554255,-6.582540999999992,0.552103,-6.00988000000001,29.951162,-6.570496999999989,29.947542,-5.911143999999979,Selenographic,Equatorial
178,0.440069,-8.687315000000012,0.440676,-8.10905600000001,29.995386,-8.703101000000004,29.995578,-8.038730999999984,Selenographic,Equatorial
179,1.791461,-8.719581000000005,1.794918,-8.076432000000011,31.338869,-8.748221999999998,31.342091,-7.999302,Selenographic,Equatorial
180,-0.916604,-8.72367300000002,-0.923093,-8.083268999999973,28.649273,-8.732047000000023,28.642511,-8.006052000000011,Selenographic,Equatorial
181,-0.872897,-10.828891999999996,-0.880512,-10.188851999999997,28.708282,-10.844748999999979,28.700793,-10.121734000000004,Selenographic,Equatorial
182,1.850614,-10.831141000000002,1.790139,-10.190927999999985,31.411644,-10.834856000000002,31.350938,-10.092196999999999,Selenographic,Equatorial
183,0.483756,-10.79188099999999,0.483346,-10.213811000000021,30.041321,-10.814142000000004,30.040641,-10.152417000000014,Selenographic,Equatorial
184,2.097481,-21.472553000000005,2.094996,-20.811183000000028,31.573468,-21.533119999999997,31.571611,-20.785738999999978,Selenographic,Equatorial
185,0.712042,-21.409175000000005,0.71236,-20.815031999999974,30.227502,-21.481615999999974,30.227005,-20.819043000000022,Selenographic,Equatorial
186,-0.680473,-21.441794000000016,-0.680375,-20.784080000000017,28.883914,-21.510468000000003,28.883258,-20.786849000000018,Selenographic,Equatorial
187,2.236463,-23.60546199999999,2.236928,-22.939581999999973,31.644842,-23.678871000000015,31.644965,-22.929777,Selenographic,Equatorial
188,0.840829,-23.58343500000001,0.838441,-22.985731999999985,30.302225,-23.638680000000022,30.300262,-22.975077999999996,Selenographic,Equatorial
189,-0.563086,-23.624739999999974,-0.568553,-22.963571,28.961166,-23.666044999999997,28.956669,-22.941835000000026,Selenographic,Equatorial
190,2.754558,-30.060743000000002,2.756678,-29.462703999999974,30.494556,-30.110554999999977,30.49615,-29.449047000000007,Selenographic,Equatorial
191,4.162507,-30.094529000000023,4.159063,-29.42764599999998,31.818001,-30.143580999999983,31.813712,-29.396856000000014,Selenographic,Equatorial
192,1.358245,-30.10059000000001,1.34292,-29.439909,29.175601,-30.141238999999985,29.161191,-29.419590000000028,Selenographic,Equatorial
193,2.45872,-36.621622,2.457529,-35.95248099999998,31.880758,-36.630161999999984,31.879158,-35.87992400000002,Selenographic,Equatorial
194,1.050716,-36.59120200000001,1.049204,-35.991393000000016,30.542643,-36.588684,30.540897,-35.92497400000002,Selenographic,Equatorial
195,-0.362139,-36.61497200000002,-0.361332,-35.952319999999986,29.208723,-36.611103000000014,29.208455,-35.88773400000002,Selenographic,Equatorial
196,-1.31587,-38.800422000000026,-1.317572,-38.138531,28.885578,-38.774512000000016,28.883475,-38.054055000000005,Selenographic,Equatorial
197,1.490785,-38.795411,1.491055,-38.12715400000002,31.561976,-38.78392100000002,31.561527,-38.036496,Selenographic,Equatorial
198,0.085547,-38.763784999999984,0.085108,-38.16470199999998,30.223783,-38.74346600000001,30.22277,-38.08231599999999,Selenographic,Equatorial
199,9.035442,-42.004260999999985,9.033194,-41.40970900000002,18.703984,-41.987566000000015,18.701174,-41.37643300000002,Selenographic,Equatorial
200,10.4144,-42.03598599999998,10.41142,-41.370439999999974,20.062584,-42.017945999999995,20.058677,-41.33100200000001,Selenographic,Equatorial
201,60.800298,-167.368025,60.804732,-165.746086,30.997987,-167.063732,31.002023,-166.075606,Selenographic,Equatorial
202,60.903304,161.978715,60.908131,163.258413,30.65093,162.33882,30.654202,163.091692,Selenographic,Equatorial
203,-59.90574,135.817347,-59.818943,134.27184,0.09989,136.074333,0.186392,135.327269,Selenographic,Equatorial
204,61.947083,70.206944,61.917414,68.643261,29.765043,71.194367,29.747763,70.257614,Selenographic,Equatorial
205,44.718218,90.413344,44.710794,91.384559,68.751894,90.617072,68.734899,92.676689,Selenographic,Equatorial
206,-30.86626,-19.113325999999972,-30.86881,-20.063872000000003,-62.635774,-18.671377000000007,-62.639997,-20.312250000000006,Selenographic,Equatorial
207,-1.420513,172.046923,-1.436447,172.71992,57.701955,171.609051,57.688794,172.925672,Selenographic,Equatorial
208,43.175249,120.308581,43.169871,121.35045,67.145369,120.00698,67.136403,122.076084,Selenographic,Equatorial
209,59.408601,49.875313,59.395712,48.217422,35.85968,49.885374,35.850332,48.781255,Selenographic,Equatorial
210,-0.738467,-178.819621,-0.753508,-177.903179,-29.764076,-179.079415,-29.772183,-178.027265,Selenographic,Equatorial
211,46.323905,125.809947,46.338225,126.935941,31.771205,126.111115,31.781418,127.044252,Selenographic,Equatorial
212,44.750657,-116.21214699999999,44.742167,-115.378095,68.660465,-116.04483099999999,68.645553,-114.32355799999999,Selenographic,Equatorial
213,-27.824008,47.354338,-27.814797,46.637909,2.33096,47.676381,2.33896,47.039163,Selenographic,Equatorial
214,44.801515,129.751774,44.802912,130.724499,68.474992,129.030755,68.4782,131.015914,Selenographic,Equatorial
215,-28.860086,-159.085159,-28.862891,-159.932027,-60.830741,-158.752715,-60.834451,-160.191979,Selenographic,Equatorial
216,63.194221,167.560653,63.137551,169.36957,-26.469036,165.171022,-26.561977,166.166292,Selenographic,Equatorial
217,33.424525,-128.165321,33.350416,-129.37124,3.482168,-128.342218,3.403414,-129.329522,Selenographic,Equatorial
218,-0.138692,-174.553031,-0.136685,-173.950281,60.812499,-175.301909,60.815972,-174.029072,Selenographic,Equatorial
219,-30.552061,-80.08292399999999,-30.559258,-80.94558899999998,-62.419947,-78.281316,-62.441766,-79.84698600000002,Selenographic,Equatorial
220,10.888459,-4.893119000000013,10.884965,-4.035248000000024,1.449638,-4.954135000000008,1.445327,-4.1144199999999955,Selenographic,Equatorial
